,application_number,created_at,hotel_name,hotel_address_line_1,hotel_address_line_2,hotel_city,hotel_state,hotel_zip,hotel_status,license_in,license_out,total_in_household
169,ACSKNAME9G,2024-10-02 00:26:04.178115+00:00,Quality Inn Saint Petersburg North-Tampa Bay,2595 54th Ave N,,St Petersburg,FL,33714,Booked,2024-10-19,,1.00
179,UV3DDZF7QM,2024-10-02 00:30:27.420549+00:00,Residence Inn,2101 Northpointe Pkwy,,Lutz,FL,33558,Booked,2024-11-01,2024-11-30,5.00
180,UV3DDZF7QM,2024-10-02 00:30:27.420549+00:00,Residence Inn,2101 Northpointe Pkwy,,Lutz,FL,33558,Booked,2024-11-01,2024-12-01,5.00
181,RK6QVPBCFE,2024-10-02 00:30:40.441727+00:00,Holiday Inn St. Petersburg,1200 34th Street North,,St Petersburg,FL,33713,Booked,2024-10-13,2024-11-13,4.00
183,8X89DY82ZV,2024-10-02 00:31:34.160332+00:00,Hampton Inn Rocky Point,3035 N Rocky Point Dr,,Tampa,FL,33607,Booked,2024-10-05,2024-11-17,3.00
185,EGHMGM5N8Z,2024-10-02 00:31:51.363464+00:00,"Staybridge Suites Tallahassee, an IHG Hotel",1600 Summit Lake Drive,,Tallahassee,FL,32317,Booked,2024-10-25,2024-11-24,5.00
186,EGHMGM5N8Z,2024-10-02 00:31:51.363464+00:00,"Staybridge Suites Tallahassee, an IHG Hotel",1600 Summit Lake Drive,,Tallahassee,FL,32317,Booked,2024-10-25,2024-11-24,5.00
190,6VV63YQAZK,2024-10-02 00:32:31.849808+00:00,Quality Inn St. Petersburg North-Tampa Bay,2595 54th Ave North,,Saint Petersburg,FL,33714,Booked,2024-10-19,2024-11-19,2.00
194,32B7KDRJY3,2024-10-02 00:34:09.644258+00:00,Quality Inn & Suites Conference Center,5316 Us Highway 19,,New Port Richey,FL,34652,Booked,2024-10-17,2024-11-16,2.00
196,MBJ7WA69FQ,2024-10-02 00:35:17.792863+00:00,"Motel 6 Englewood, FL",2540 S Mccall Rd,,Englewood,FL,34224,Booked,2024-10-29,2024-11-15,6.00
197,MBJ7WA69FQ,2024-10-02 00:35:17.792863+00:00,"Motel 6 Englewood, FL",2540 S Mccall Rd,,Englewood,FL,34224,Booked,2024-10-29,2024-11-15,6.00
198,MBJ7WA69FQ,2024-10-02 00:35:17.792863+00:00,Extended Stay America Premier Suites,14761 Hope Center Loop,,Fort Myers,FL,33912,Moved Out,2024-10-16,2024-10-29,6.00
203,N8WV7T6R3S,2024-10-02 00:36:09.249354+00:00,Hampton Inn & Suites,5460 Gateway Village Cir,,Orlando,FL,32812,Moved Out,2024-10-10,2024-10-14,1.00
204,N8WV7T6R3S,2024-10-02 00:36:09.249354+00:00,Extended Stay America Suites Saint Petersburg Clearwater,3089 Executive Dr,,Clearwater,FL,33762,Booked,2024-10-14,2024-11-13,1.00
206,MVF8AP7YSZ,2024-10-02 00:37:32.935675+00:00,Pier House 60 Clearwater Beach Marina Hotel,101 Coronado Drive,,Clearwater Beach,FL,33767,Booked,2024-10-23,2024-10-31,1.00
207,MVF8AP7YSZ,2024-10-02 00:37:32.935675+00:00,"Country Inn & Suites by Radisson, St. Petersburg",8050 US Hwy 19N,,Pinellas Park,FL,33781,Moved Out,2024-10-22,2024-10-23,1.00
216,64WZYXXBTN,2024-10-02 00:40:30.333357+00:00,"Holiday Inn Express Crystal River, an IHG Hotel",2380 US-19,,Crystal River,FL,34428,Booked,2024-10-31,2024-11-30,2.00
217,64WZYXXBTN,2024-10-02 00:40:30.333357+00:00,Days Inn by Wyndham,2575 Suncoast Blvd Us 19,,Crystal River,FL,34428,Moved Out,2024-10-05,2024-10-09,2.00
218,64WZYXXBTN,2024-10-02 00:40:30.333357+00:00,Econo Lodge Crystal River,2575 N NW US-19,,Crystal River,FL,34428,Booked,2024-10-14,2024-10-31,2.00
220,B3EZ3GWK4R,2024-10-02 00:41:23.802520+00:00,Quality Inn Saint Petersburg North-Tampa Bay,2595 54th Ave North,,St. Petersburg,FL,33714,Booked,2024-10-19,2025-02-05,6.00
222,WGFHK8HMLY,2024-10-02 00:41:29.914525+00:00,Home2 Suites by Hilton Nokomis Sarasota Casey Key,227 Albee Road West,,Nokomis,FL,34275,Booked,2024-10-18,2024-11-17,2.00
227,34FCGYX52V,2024-10-02 00:43:09.062236+00:00,Days Inn & Suites,10826 US Highway 19,,Port Richey,FL,34668,Booked,2024-10-06,2024-11-15,2.00
229,BPYF656J68,2024-10-02 00:44:21.838518+00:00,The Westin Tampa Waterside,725 S Harbour Island,,Tampa,FL,33602,Moved Out,2024-10-06,2024-10-13,2.00
231,SNT2KS97ZY,2024-10-02 00:45:20.723491+00:00,Quality Inn & Suites Conference Center,5316 Us Highway 19,,New Port Richey,FL,34652,Booked,2024-10-16,2024-11-15,2.00
240,7DTL5LLPRW,2024-10-02 00:50:14.896676+00:00,"Country Inn & Suites by Radisson, St. Petersburg - Clearwater, FL",8050 US Hwy 19N,,Pinellas Park,FL,33781,Rejected,2024-10-18,2024-11-17,3.00
241,7DTL5LLPRW,2024-10-02 00:50:14.896676+00:00,"Country Inn & Suites by Radisson, Tampa Airport East-RJ Stadium",4750 N Dale Mabry Hwy,,Tampa,FL,33614,Moved Out,2024-10-17,2024-10-17,3.00
242,7DTL5LLPRW,2024-10-02 00:50:14.896676+00:00,Tahitian Inn,601 S Dale Mabry Hwy,,Tampa,FL,33609,Booked,2024-10-19,2024-11-18,3.00
243,TKLDKQSGF8,2024-10-02 00:50:29.284738+00:00,Quality Inn St. Petersburg North Tampa Bay,2595 54th Ave North,,St. Petersburg,FL,33714,Booked,2024-10-19,,3.00
250,HZZGB594F5,2024-10-02 00:53:00.880532+00:00,TownePlace Suites Tampa Clearwater,21090 U.S. Highway 19 North,,Clearwater,FL,33765,Booked,2024-11-01,,2.00
259,9S5234P7PT,2024-10-02 00:55:27.615211+00:00,HomeTowne Studios by Red Roof Tampa,6121 West Sitka Street,,Tampa,FL,33634,Booked,2024-10-20,2024-11-18,4.00
264,XACGU35KAJ,2024-10-02 00:57:50.974504+00:00,HomeTowne Studios by Red Roof Tampa,6121 West Sitka Street,,Tampa,FL,33634,Booked,2024-10-19,2024-11-18,2.00
269,P8V8WWQ97J,2024-10-02 01:01:54.872429+00:00,Homewood Suites by Hilton Tampa - Port Richey,11115 Us Highway 19,,Port Richey,FL,34668,Booked,2024-11-06,2024-12-06,3.00
272,4WZ8E7ZMH6,2024-10-02 01:03:36.027709+00:00,Residence Inn Tampa Suncoast Parkway at NorthPointe Village,"2101 Northpointe Pkwy, Lutz, FL 33558",,Lutz,FL,33558,Booked,2024-11-01,2024-12-01,2.00
273,7NYPN2HNN3,2024-10-02 01:06:06.786653+00:00,Quality Inn & Suites Conference Center,5316 Us Highway 19,,New Port Richey,FL,34652,Booked,2024-10-14,2024-11-13,2.00
275,TCXNMLB95A,2024-10-02 01:10:52.113344+00:00,Courtyard St. Petersburg Clearwater/Madeira Beach,601 American Legion Dr,,Madeira Beach,FL,33708,Booked,2024-10-17,2024-11-16,5.00
277,CHG7VVQPVH,2024-10-02 01:16:12.095424+00:00,Tampa Clearwater,,,,FL,,Booked,2024-11-01,2024-12-01,6.00
279,DTV5US4VYY,2024-10-02 01:26:30.135654+00:00,Ramada by Wyndham Venice Hotel Venezia,425 Us Highway 41 Byp N,,Venice,FL,34285,Booked,2024-10-17,2024-11-15,1.00
284,J9E5DZY9S8,2024-10-02 01:31:34.014582+00:00,Extended Stay America Premier Suites Tampa Gibsonton,10623 East Bay Road,,Gibsonton,FL,33534,Moved Out,2024-10-04,2024-10-16,3.00
288,VCQ4VQKVGG,2024-10-02 01:35:18.848121+00:00,Mint House St. Petersburg,77 11th St N,,St. Petersburg,FL,33705,Booked,2024-10-21,2024-11-20,1.00
290,4529VFKTCC,2024-10-02 01:37:04.242631+00:00,Residence Inn Tampa Suncoast Parkway at NorthPointe Village,2101 Northpointe Pkwy (Northpointe Village Shopping Center,,Lutz,FL,33558,Booked,2024-11-01,2024-12-01,3.00
297,96ZTF2NZ7X,2024-10-02 01:43:29.788370+00:00,Residence Inn Tampa Suncoast Parkway at NorthPointe Village,2101 Northpointe Pkwy (Northpointe Village Shopping Center),,Lutz,FL,33558,Pending Booking,,,2.00
300,ZGW7Y8TY9U,2024-10-02 01:46:15.450786+00:00,Rodeway Inn,6826 Us Highway 19,,New Port Richey,FL,34652,Booked,2024-10-20,2024-11-19,3.00
323,JASWD24H8D,2024-10-02 02:36:03.695909+00:00,The Hotel Zamora,3701 Gulf Blvd,,St Petersburg,FL,33706,Moved Out,2024-10-06,2024-10-11,1.00
332,KVQ6BPUKFB,2024-10-02 02:57:59.769787+00:00,Residence Inn Tampa Suncoast Parkway at NorthPointe Village,2101 Northpointe Pkwy (Northpointe Village Shopping Center),,Lutz,FL,33558,Booked,2024-11-01,2024-12-01,3.00
336,TYFPYB8M3M,2024-10-02 03:15:38.771506+00:00,Quality Inn Saint Petersburg North-Tampa Bay,2595 54th Ave N,,St Petersburg,FL,33714,Booked,2024-10-19,2025-02-05,5.00
340,CK32QTGK5A,2024-10-02 12:32:32.929572+00:00,Holiday Inn Express Hotel & Suites Port Richey,10619 Us Highway 19,,Port Richey,FL,34668,Booked,2024-10-27,2024-12-26,3.00
341,CK32QTGK5A,2024-10-02 12:32:32.929572+00:00,Comfort Inn & Suites,6206 US HWY 19,,New Port Richey,FL,34652,Moved Out,2024-10-20,2024-10-24,3.00
342,VPWC3AHMRX,2024-10-02 12:37:24.985712+00:00,Hilton Garden Inn Tampa,2155 Northpointe Pkwy,,Lutz,FL,33558,Moved Out,2024-10-06,2024-10-12,4.00
343,VPWC3AHMRX,2024-10-02 12:37:24.985712+00:00,Quality Inn & Suites Tarpon Springs South,38724 US Highway 19 North,,Palm Harbor,FL,34689,Booked,2024-10-18,2024-11-17,4.00
349,AJQ3NLNLMF,2024-10-02 12:46:27.267966+00:00,La Quinta Inn & Suites by Wyndham Clearwater South,5000 Lake Blvd Pinellas Park,,Pinellas Park,FL,33760,Booked,2024-11-01,2024-11-30,7.00
359,3VYW8A6WBC,2024-10-02 12:58:46.906612+00:00,SpringHill Suites,"16615 Crosspointe Run, Land O' Lakes, FL, 34638",,Land O' Lakes,FL,34638,Booked,2024-10-27,2024-11-26,2.00
361,96RVKKG4NT,2024-10-02 13:00:58.069578+00:00,Clarion Inn & Suites Central Clearwater Beach,"20967 Us Highway 19 N Clearwater, FL, US, 33765",,Clearwater,FL,3376,Booked,2024-10-18,2024-11-18,1.00
367,3JVGL7VG2G,2024-10-02 13:06:28.738176+00:00,Quality Inn Saint Petersburg North-Tampa Bay,2595 54 Ave North,,Saint Petersburg,FL,33714,Booked,2024-10-19,2024-11-19,5.00
369,EH7FTPB5YT,2024-10-02 13:08:25.005269+00:00,Grand Hyatt Tampa Bay,2900 Bayport Drive,,Tampa,FL,33607,Moved Out,2024-10-06,,5.00
370,EH7FTPB5YT,2024-10-02 13:08:25.005269+00:00,Sleep Inn & Suites Tampa South,6231 S Dale Mabry Highway,,Tampa,FL,33611,Booked,2024-10-22,2024-11-21,5.00
371,EH7FTPB5YT,2024-10-02 13:08:25.005269+00:00,Sleep Inn & Suites Tampa South,6231 S Dale Mabry Highway,,Tampa,FL,33611,Booked,2024-10-22,2024-11-21,5.00
372,EH7FTPB5YT,2024-10-02 13:08:25.005269+00:00,Grand Hyatt Tampa Bay,2900 Bayport Drive,,Tampa,FL,33607,Moved Out,2024-10-06,,5.00
373,QMRNRGPFU3,2024-10-02 13:09:17.177575+00:00,TownePlace Suites Tampa Clearwater,21090 U.S. Highway 19 North,,Clearwater,FL,33765,Booked,2024-11-01,2025-02-05,4.00
381,8Y3FJPMPAM,2024-10-02 13:34:07.012229+00:00,"Homewood Suites by Hilton Tampa - Port Richey, part of Homewood Suites by Hilton",11115 Us Highway 19,,Port Richey,FL,34668,Booked,2024-10-31,2024-11-30,2.00
382,8Y3FJPMPAM,2024-10-02 13:34:07.012229+00:00,"Homewood Suites by Hilton Tampa - Port Richey, part of Homewood Suites by Hilton",11115 Us Highway 19,,Port Richey,FL,34668,Moved Out,2024-10-19,2024-10-31,2.00
385,DCCA6MHSQ9,2024-10-02 13:42:53.400570+00:00,Sleep Inn & Suites Tampa South,6231 S Dale Mabry Highway,,Tampa,FL,33611,Booked,2024-10-19,,2.00
386,2SLB3SYK4W,2024-10-02 13:47:12.933690+00:00,Residence Inn Tampa Suncoast Parkway at NorthPointe Village,2101 Northpointe Pkwy (Northpointe Village Shopping Center,,Lutz,FL,33558,Booked,2024-11-01,2025-02-05,1.00
387,QCEFRUVN4L,2024-10-02 13:47:14.232108+00:00,TownePlace Suites Tampa Clearwater,21090 US Highway 19 N,,Clearwater,FL,33765,Booked,2024-11-01,2024-11-30,2.00
398,2EHH5AH3TC,2024-10-02 14:13:36.139786+00:00,Sleep Inn & Suites Tampa South,6231 S Dale Mabry Highway,,Tampa,FL,33611,Booked,2024-10-18,2024-11-17,1.00
405,DXN7YFZHA2,2024-10-02 14:31:15.854375+00:00,Extended Stay America Suites Clearwater Carillon Park,2311 Ulmerton Rd,,Clearwater,FL,33762,Booked,2024-10-15,,2.00
411,STLG4W7VQN,2024-10-02 14:40:35.249054+00:00,Rodeway Inn,6826 Us Highway 19,,New Port Richey,FL,34625,Booked,2024-10-15,2024-11-15,5.00
412,KX4W5WEFN9,2024-10-02 14:45:20.209738+00:00,Howard Johnson by Wyndham Clearwater / Dunedin,"27988 Us Highway 19 N Clearwater, FL, US, 33761 (727) 796-0135",,Clearwater,FL,33761,Booked,2024-10-15,2024-11-16,1.00
413,KX4W5WEFN9,2024-10-02 14:45:20.209738+00:00,Hyatt Place Tampa,26000 Sierra Center Boulevard,,Lutz,FL,33559,Moved Out,2024-10-06,2024-10-12,1.00
428,XY45DGSY8A,2024-10-02 15:17:25.368429+00:00,Quality Inn St. Petersburg North Tampa Bay,2595 54th North,,St. Petersburg,FL,33714,Booked,2024-10-19,2024-11-18,3.00
433,5TAD2DNQFK,2024-10-02 15:24:24.963042+00:00,Quality Inn Saint Petersburg North-Tampa Bay,2595 54th Ave North,,St. Petersburg,FL,33714,Booked,2024-10-19,2024-11-19,4.00
435,YKRQQHX8TV,2024-10-02 15:27:09.349800+00:00,TownePlace Suites Tampa Clearwater,21090 U.S. Highway 19 North,,Clearwater,FL,33765,Booked,2024-11-01,2025-02-05,3.00
440,34NVXULKN7,2024-10-02 15:35:44.194902+00:00,"Holiday Inn Tampa Westshore - Airport Area, an IHG Hotel",700 N Westshore Blvd,,Tampa,FL,33609,Booked,2024-10-19,2024-11-18,3.00
448,JA6438LB6S,2024-10-02 15:49:22.834642+00:00,Embassy Suites by Hilton,3705 Spectrum Blvd,,Tampa,FL,33612,Pending Booking,,,
454,S6339T4QFJ,2024-10-02 16:40:11.781266+00:00,Holiday Inn Express & Suites,10619 US 19,,Port Richey,FL,34668,Booked,2024-10-11,2024-11-10,3.00
455,KFCAAFK68W,2024-10-02 16:54:31.853937+00:00,Residence Inn St. Petersburg Treasure Island,11908 Gulf Blvd,,Treasure Island,FL,33706,Booked,2024-10-04,2024-11-04,5.00
465,QXHXCCJKFS,2024-10-02 22:04:52.867710+00:00,Hampton Inn & Suites,11050 Us Highway 19,,Port Richey,FL,34668,Booked,2024-10-18,2024-11-17,1.00
467,4YD7N3922G,2024-10-02 22:07:24.074035+00:00,Quality Inn & Suites Near Fairgrounds Ybor City,4955 E 18th Avenue,,Tampa,FL,33605,Booked,2024-10-20,2024-11-19,4.00
469,2TCLRNSVRA,2024-10-02 22:10:50.331373+00:00,Hampton Inn Spring Hill,1344 Commercial Way,,Spring Hill,FL,34606,Booked,2024-10-21,2024-11-20,1.00
471,UAWMY6VTPQ,2024-10-02 22:12:12.879907+00:00,Courtyard St. Petersburg Clearwater/Madeira Beach,601 American Legion Dr,,Madeira Beach,FL,33708,Booked,2024-11-01,2024-11-30,2.00
472,UAWMY6VTPQ,2024-10-02 22:12:12.879907+00:00,Courtyard St. Petersburg Clearwater/Madeira Beach,601 American Legion Dr,,Madeira Beach,FL,33708,Booked,2024-10-16,2024-11-01,2.00
476,GWXFF63G5F,2024-10-02 22:15:48.640269+00:00,Days Inn by Wyndham St. Petersburg / Tampa Bay Area,5005 34th Street,,North St. Petersburg,FL,33714,Booked,2024-10-19,2024-11-18,2.00
486,5F42FLNWEC,2024-10-02 22:39:06.031681+00:00,Quality Inn St. Petersburg North,2595 54th Ave N,,St. Petersberg,FL,33714,Booked,2024-10-19,2025-02-05,4.00
491,4EKHRUCE8Q,2024-10-02 22:47:29.672356+00:00,Days Inn by Wyndham,6160 S State Road 53,,Madison,FL,32340,Booked,2024-10-21,,2.00
511,BB86WJMZ4W,2024-10-02 23:06:49.732062+00:00,Residence Inn Suncoast Parkway at Northpointe Village,2101 Northpointe Parkway,,Lutz,FL,33558,Booked,2024-11-01,,2.00
521,QV5EXEYJ7C,2024-10-02 23:21:41.529644+00:00,Quality Inn and Conference Center,9331 East Adamo Drive,,Tampa,FL,33619,Booked,2024-10-23,2024-11-22,4.00
535,X8GXHZMRTJ,2024-10-02 23:45:48.319908+00:00,TownePlace Suites Tampa Clearwater,21090 U.S. Highway 19 North,,Clearwater,FL,33765,Booked,2024-11-01,2025-02-05,2.00
552,TA7YWQMMTL,2024-10-03 12:54:57.625319+00:00,Quality Inn St. Petersburg North Tampa Bay,2595 54th Ave North,,St. Petersburg,FL,33714,Booked,2024-10-19,2024-11-18,2.00
562,8W7RRJUSTX,2024-10-03 13:18:38.390677+00:00,Days Inn & Suites by Wyndham Tampa/Raymond James Stadium,5405 N Church Ave,,Tampa,FL,33614,Booked,2024-10-19,2024-11-18,5.00
563,B2PPQDURRZ,2024-10-03 13:23:07.632771+00:00,Springhill Suites,16615 Crosspointe Run,,Land O' Lakes,FL,34638,Booked,2024-10-27,2024-11-26,6.00
564,B2PPQDURRZ,2024-10-03 13:23:07.632771+00:00,Springhill Suites,16615 Crosspointe Run,,Land O' Lakes,FL,34638,Booked,2024-10-27,2024-11-26,6.00
567,UATFTBYKQR,2024-10-03 13:30:16.000164+00:00,"Home2 Suites by Hilton Nokomis Sarasota Casey Key, part of Home2 Suites by Hilton",227 Albee Road West,,NOKOMIS,FL,34275,Booked,2024-10-28,2024-11-28,1.00
572,JHKAGCXSSD,2024-10-03 13:53:21.658262+00:00,Quality Inn Saint Petersburg North-Tampa Bay,2595 54th Ave North,,St. Petersburg,FL,33714,Booked,2024-10-19,2025-02-05,3.00
578,ACRBHBX5MB,2024-10-03 14:11:50.066599+00:00,"Holiday Inn Express & Suites Ruskin, an IHG Hotel",226 Teco Road,,Ruskin,FL,33570,Booked,2024-10-23,2024-11-22,2.00
581,S5DF5LLXYB,2024-10-03 14:15:30.910579+00:00,TownePlace Suites Tampa Clearwater,21090 US Highway 19 North,,Clearwater,FL,33765,Booked,2024-11-01,2025-02-05,4.00
593,Q3FUGGVXYE,2024-10-03 14:54:13.601955+00:00,Quality Inn Saint Petersburg North-Tampa Bay,2595 54th Ave North,,St. Petersburg,FL,33714,Booked,2024-10-19,2025-02-05,3.00
597,VKZDX4P5FM,2024-10-03 15:22:18.492634+00:00,Holiday Inn Express Crystal River,1203 Ne 5th St,,Crystal River,FL,34429,Booked,2024-10-17,2024-11-16,1.00
598,NYWAXJDREK,2024-10-03 15:22:58.830631+00:00,Springhill Suites,16615 Crosspointe Run,,Land O' Lakes,FL,34638,Booked,2024-10-27,2024-11-26,3.00
603,CTD5KQPCMA,2024-10-03 16:37:52.477519+00:00,Hampton Inn & Suites,11050 Us Highway 19,,Port Richey,FL,34668,Booked,2024-10-16,2024-11-15,1.00
606,LYDT3W7FEH,2024-10-03 16:45:32.013236+00:00,"Holiday Inn Express & Suites Ruskin, an IHG Hotel",226 Teco Road,,Ruskin,FL,33570,Booked,2024-10-30,2024-11-29,3.00
611,NXWPWCYHQX,2024-10-03 18:27:42.702877+00:00,Hampton Inn & Suites,11050 Us Highway 19,,Port Richey,FL,34668,Booked,2024-10-20,2024-11-19,4.00
613,6A5JKDLP2Q,2024-10-03 18:28:41.966154+00:00,Quality Inn Weeki Wachee,9373 Cortez Blvd,,Weeki Wachee,FL,34613,Moved Out,2024-10-06,2024-10-12,1.00
614,6A5JKDLP2Q,2024-10-03 18:28:41.966154+00:00,Quality Inn & Suites Conference Center,5316 Us Highway 19,,New Port Richey,FL,34652,Booked,2024-10-15,2024-11-14,1.00
621,JVRG6ZUXBW,2024-10-03 18:43:34.625861+00:00,Extended Stay America St Petersburg,3089 Executive Drive,,Clearwater,FL,33762,Moved Out,2024-10-29,2024-11-28,1.00
622,JVRG6ZUXBW,2024-10-03 18:43:34.625861+00:00,Quality Inn Saint Petersburg North-Tampa Bay,2595 54th Ave N,,St Petersburg,FL,33714,Booked,2024-10-19,,1.00
623,HR26YU6ET5,2024-10-03 18:47:59.558711+00:00,Residence Inn Suncoat Parkway At Northpointe Village,2101 Northpointe Parkway,,Lutz,FL,33558,Booked,2024-11-01,2025-02-05,2.00
630,P2CSVXWSJJ,2024-10-03 19:20:15.227484+00:00,Ramada by Wyndham Venice Hotel Venezia,425 Us Highway 41 Byp N,,Venice,FL,34285,Booked,2024-10-20,2024-11-19,3.00
635,YJUXNNPZ8R,2024-10-03 19:39:48.239152+00:00,Holiday Inn Express Hotel & Suites Port Richey,10619 Us Highway 19,,Port Richey,FL,34668,Applicant Accepted,2024-10-25,2024-11-24,3.00
639,LXDAMZKJ4L,2024-10-03 20:11:34.274853+00:00,Microtel Inn & Suites,4881 Commercial Way,,Spring Hill,FL,34606,Booked,2024-10-16,2024-11-15,2.00
652,3EFP45935Z,2024-10-03 21:28:29.931153+00:00,Quality Inn Saint Petersburg North-Tampa Bay,2595 54th Ave North,,Saint Petersburg,FL,33714,Booked,2024-10-19,2025-02-05,5.00
653,E8N9G6GRX4,2024-10-03 21:35:10.728711+00:00,Hampton Inn & Suites Port Richey,11050 Us Highway 19,,Port Richey,FL,34668,Pending Booking,2024-11-01,2024-11-24,2.00
654,DAQ8CYPFE9,2024-10-03 21:40:50.900868+00:00,Quality Inn Saint Petersburg North-Tampa Bay,"2595 54th Ave N, Saint Petersburg, FL 33714",,St. Petersburg,FL,33714,Booked,2024-10-27,2024-11-26,2.00
657,P35NJQWAGP,2024-10-03 22:09:11.567978+00:00,Quality Inn Saint Petersburg North-Tampa Bay,2595 54th Ave North,,St. Petersburg,FL,33714,Booked,2024-10-19,,1.00
659,WJFMRRTBKZ,2024-10-03 22:15:28.134014+00:00,Quality Inn Saint Petersburg North Tampa Bay,2595 54th North,,St. Petersburg,FL,33714,Booked,2024-10-19,,4.00
665,EKWJ3LCZ89,2024-10-04 19:10:15.074671+00:00,Springhill Suites,16615 Crosspointe Run,,Land O' Lakes,FL,34638,Booked,2024-10-27,2024-11-26,1.00
674,CM6NYRNKT9,2024-10-04 20:34:08.302206+00:00,Extended Stay America Suites Clearwater Carillon Park,2311 Ulmerton Rd,,Clearwater,FL,33762,Booked,2024-10-17,2024-11-16,1.00
675,LTJPSVPWDB,2024-10-04 20:44:43.915703+00:00,Quality Inn Saint Petersburg North-Tampa Bay,2595 54th Ave North,,St. Petersburg,FL,33714,Booked,2024-10-19,2025-02-05,2.00
678,722ZSZLQ3S,2024-10-04 21:04:23.309180+00:00,SpringHill Suites,16615 Crosspointe Run,,Land O' Lakes,FL,34638,Booked,2024-10-27,2024-11-26,2.00
689,HXW4MSSMT8,2024-10-04 22:34:00.549123+00:00,Extended Stay America Suites Clearwater Carillon Park,2311 Ulmerton Rd,,Clearwater,FL,33762,Booked,2024-10-21,2024-11-20,2.00
690,NAD3BFE5GA,2024-10-04 22:56:11.799972+00:00,SpringHill Suites,16615 Crosspointe Run,,Land O' Lakes,FL,34638,Booked,2024-10-27,2024-11-26,3.00
695,Z2ETX3XJVA,2024-10-05 11:55:13.971083+00:00,Quality Inn St. Petersburg North Tampa Bay,2595 54th Ave North,,St. Petersburg,FL,33714,Booked,2024-10-19,,2.00
698,Z97UMG69QS,2024-10-05 12:23:15.562456+00:00,Springhill Suites,16615 Crosspointe Run,,Land O' Lakes,FL,34638,Booked,2024-10-27,2024-11-26,5.00
699,Z97UMG69QS,2024-10-05 12:23:15.562456+00:00,Springhill Suites,"16615 Crosspointe Run, Land O' Lakes",,Land o lakes,FL,34638,Booked,2024-10-27,2024-11-26,5.00
703,88QSN9ZPSL,2024-10-05 12:47:06.052803+00:00,Days Inn by Wyndham Lake City I-75,3144 West US Highway 90,,Lake City,FL,32055,Booked,2024-10-16,2024-11-15,4.00
704,QQHE326WCT,2024-10-05 12:53:34.684691+00:00,Residence Inn Suncoast,2101 Northpointe Pkwy,,Lutz,FL,33558,Booked,2024-11-01,2024-12-01,2.00
711,RJJ7CGXKDA,2024-10-05 13:29:12.528926+00:00,Home2 Suites by Hilton Largo,10145 Ulmerton Road,,Largo,FL,33771,Booked,2024-10-24,2024-11-23,4.00
715,UEEAUTN89Y,2024-10-05 13:40:07.726484+00:00,Springhill Suites,16615 Crosspointe Run,,Land o lakes,FL,34638,Booked,2024-10-27,2024-11-26,4.00
719,DSV72RKL2R,2024-10-05 13:48:22.197377+00:00,Residence Inn Suncoast Parkway at Northpointe Villag,2101 Northpointe Parkway,,Lutz,FL,33558,Booked,2024-11-01,2025-02-05,3.00
721,9PWYC99EYW,2024-10-05 13:52:01.633899+00:00,Residence Inn Suncoast Parkway,Residence Inn Suncoast Parkway,2101 Northpointe Pkwy,Lutz,FL,335588,Booked,2024-11-01,2024-12-01,2.00
722,F6C45QCMC5,2024-10-05 13:55:20.269300+00:00,Quality Inn St Petersburg North-Tampa Bay,2595 54th Ave North,,St. Petersburg,FL,33714,Booked,2024-10-19,2024-11-19,1.00
725,3GEAFV63ZV,2024-10-05 14:00:08.401700+00:00,SpringHill Suites,16615 Crosspointe Run,,Land O' Lakes,FL,34638,Booked,2024-10-27,2024-11-26,3.00
727,XJBLPBKK4Q,2024-10-05 14:03:16.127028+00:00,Quality Inn Saint Petersburg North-Tampa Bay,2595 54th Ave North,,St. Petersburg,FL,33714,Moved Out,2024-10-19,2024-10-26,2.00
739,B5GZJYJL2S,2024-10-05 14:34:00.144987+00:00,Residence Inn Suncoast,2101 Northpointe Pkwy,,Lutz,FL,33558,Booked,2024-11-01,2024-11-30,2.00
741,KUP9PS52U2,2024-10-05 14:42:00.175337+00:00,Residence Inn Tampa Suncoast Parkway at NorthPointe Village,"2101 Northpointe Pkwy, Lutz, FL 33558",,Lutz,FL,33558,Booked,2024-11-01,2024-11-30,2.00
747,V4S2JRWXK4,2024-10-05 14:57:59.125106+00:00,Quality Inn Saint Petersburg North-Tampa Bay,2595 54th Ave North,,St. Petersburg,FL,33714,Booked,2024-10-19,2025-02-05,2.00
756,WUDV5WB9Q4,2024-10-05 15:25:57.807088+00:00,Springhill Suites,16615 Crosspointe Run,,Land O Lakes,FL,34638,Booked,2024-10-27,2024-11-26,1.00
760,E357PDTGMU,2024-10-05 15:49:18.523358+00:00,Woodspring Suites,123 South Seminole Avenue,,Inverness,FL,34452,Booked,2024-10-14,2024-11-29,2.00
765,H2NXJZMFDQ,2024-10-05 16:53:43.268325+00:00,Residence Inn North Point,2101 Northpointe Pkwy,,Lutz,FL,335588,Booked,2024-11-01,,1.00
771,6J5G28SQP5,2024-10-05 17:11:54.730893+00:00,Hampton Inn & Suites Tarpon Springs,39284 US Highway 19 N,,Tarpon springs,FL,34689,Booked,2024-10-20,2024-11-19,2.00
784,QV8LR4JPFP,2024-10-05 17:55:59.209087+00:00,Days Inn by Wyndham St. Petersburg / Tampa Bay Area,5005 34th Street,,North St. Petersburg,FL,33714,Rejected,,,4.00
